Sr. No.,City,No. of seats,Category,State,Winning Candidate,Political Party,Electors,Voters,Turnout,Margin,Margin percentage
31,Arakkonam,7,GEN,Tamil Nadu,S Jagathratchakan,Dravida Munnetra Kazhagam,"15,62,871","11,63,822",74.50%,"3,06,559",26.30%
32,Arambagh,29,SC,West Bengal,Bag Mitali,All India Trinamool Congress,"18,83,266","15,59,079",82.80%,"6,399",0.40%
33,Arani,12,GEN,Tamil Nadu,Tharaniventhan M S,Dravida Munnetra Kazhagam,"14,96,118","11,40,261",76.20%,"2,08,766",18.30%
34,Araria,9,GEN,Bihar [2000 Onwards],Pradeep Kumar Singh,Bharatiya Janta Party,"20,18,767","12,52,560",62.10%,"20,094",1.60%
35,Arrah,32,GEN,Bihar [2000 Onwards],Sudama Prasad,Communist Party Of India (Marxist-Leninist) (Liberation),"21,65,574","10,96,561",50.60%,"59,808",5.50%
36,Aruku,1,ST,Andhra Pradesh [2014 Onwards],Gumma Thanuja Rani,Yuvajana Sramika Rythu Congress Party,"15,54,633","11,64,445",74.90%,"50,580",4.30%
37,Arunachal East,2,GENP,Arunachal Pradesh,Tapir Gao,Bharatiya Janta Party,"3,75,310","3,23,443",86.20%,"30,421",9.40%
38,Arunachal West,1,GENP,Arunachal Pradesh,Kiren Rijiju,Bharatiya Janta Party,"5,17,384","3,99,804",77.30%,"1,00,738",25.20%
39,Asansol,40,GEN,West Bengal,Shatrughan Prasad Sinha,All India Trinamool Congress,"17,70,281","13,01,540",73.50%,"59,564",4.60%
40,Aska,19,GEN,Orissa,Anita Subhadarshini,Bharatiya Janta Party,"16,20,974","10,17,914",62.80%,"99,974",9.80%
41,Attingal,19,GEN,Kerala,Adv Adoor Prakash,Indian National Congress,"13,96,807","9,85,341",70.50%,684,0.10%
42,Aurangabad,19,GEN,Maharashtra,Bhumare Sandipanrao Asaram,Shiv Sena,"20,59,710","13,02,197",63.20%,"1,34,650",10.30%
43,Aurangabad,37,GEN,Bihar [2000 Onwards],Abhay Kumar Sinha,Rashtriya Janata Dal,"18,71,564","9,45,880",50.50%,"79,111",8.40%
44,Azamgarh,69,GEN,Uttar Pradesh [2000 Onwards],Dharmendra Yadav,Samajwadi Party,"18,68,165","10,54,520",56.50%,"1,61,035",15.30%
45,Badaun,23,GEN,Uttar Pradesh [2000 Onwards],Aditya Yadav,Samajwadi Party,"20,08,758","10,91,764",54.40%,"34,991",3.20%
46,Bagalkot,3,GEN,Karnataka,Gaddigoudar. Parvatagouda. Chandanagouda.,Bharatiya Janta Party,"18,06,183","13,17,561",73.00%,"68,399",5.20%
47,Baghpat,11,GEN,Uttar Pradesh [2000 Onwards],Dr Rajkumar Sangwan,Rashtriya Lok Dal,"16,53,146","9,33,773",56.50%,"1,59,459",17.10%
48,Baharaich,56,SC,Uttar Pradesh [2000 Onwards],Anand Kumar,Bharatiya Janta Party,"18,38,684","10,56,566",57.50%,"64,227",6.10%
49,Baharampur,10,GEN,West Bengal,Pathan Yusuf,All India Trinamool Congress,"17,83,078","13,84,770",77.70%,"85,022",6.10%
50,Balaghat,15,GEN,Madhya Pradesh [2000 Onwards],Bharti Pardhi,Bharatiya Janta Party,"18,73,653","13,82,280",73.80%,"1,74,512",12.60%
51,Balasore,6,GEN,Orissa,Pratap Chandra Sarangi,Bharatiya Janta Party,"16,08,014","12,39,635",77.10%,"1,47,156",11.90%
52,Ballia,72,GEN,Uttar Pradesh [2000 Onwards],Sanatan Pandey,Samajwadi Party,"19,23,645","10,07,322",52.40%,"43,384",4.30%
53,Balurghat,6,GEN,West Bengal,Sukanta Majumdar,Bharatiya Janta Party,"15,61,966","12,37,308",79.20%,"10,386",0.80%
54,Banaskantha,2,GEN,Gujarat,Geniben Nagaji Thakor,Indian National Congress,"19,61,924","13,75,903",70.10%,"30,406",2.20%
55,Banda,48,GEN,Uttar Pradesh [2000 Onwards],Krishna Devi Shivshanker Patel,Samajwadi Party,"17,47,425","10,44,132",59.80%,"71,210",6.80%
56,Bangalore Cent,25,GEN,Karnataka,P C Mohan,Bharatiya Janta Party,"24,33,751","13,16,510",54.10%,"32,707",2.50%
57,Bangalore Nort,24,GEN,Karnataka,Shobha Karandlaje,Bharatiya Janta Party,"32,14,496","17,52,504",54.50%,"2,59,476",14.80%
58,Bangalore Rura,23,GEN,Karnataka,Dr C N Manjunath,Bharatiya Janta Party,"28,02,580","19,19,540",68.50%,"2,69,647",14.00%
59,Bangalore Sout,26,GEN,Karnataka,Tejasvi Surya,Bharatiya Janta Party,"23,41,759","12,49,342",53.40%,"2,77,083",22.20%
60,Bangaon,14,SC,West Bengal,Shantanu Thakur,Bharatiya Janta Party,"18,36,374","14,93,108",81.30%,"73,693",4.90%
61,Banka,27,GEN,Bihar [2000 Onwards],Giridhari Yadav,Janata Dal (United),"18,56,566","10,14,155",54.60%,"1,03,844",10.20%
62,Bankura,36,GEN,West Bengal,Arup Chakraborty,All India Trinamool Congress,"17,80,580","14,47,674",81.30%,"32,778",2.30%
63,Bansgaon,67,SC,Uttar Pradesh [2000 Onwards],Kamlesh Paswan,Bharatiya Janta Party,"18,20,854","9,44,763",51.90%,"3,150",0.30%
64,Banswara,20,ST,Rajasthan,Raj Kumar Roat,Bharat Adivasi Party,"22,00,438","16,36,852",74.40%,"2,47,054",15.10%
65,Bapatla,15,SC,Andhra Pradesh [2014 Onwards],Krishna Prasad Tenneti,Telugu Desam,"15,06,354","13,00,745",86.40%,"2,08,031",16.00%
66,Barabanki,53,SC,Uttar Pradesh [2000 Onwards],Tanuj Punia,Indian National Congress,"19,18,491","12,90,634",67.30%,"2,15,704",16.70%
67,Baramati,35,GEN,Maharashtra,Supriya Sule,Nationalist Congress Party – Sharadchandra Pawar,"23,72,668","14,12,349",59.50%,"1,58,333",11.20%
68,Baramulla,1,,Jammu & Kashmir,Abdul Rashid Sheikh,Independent,"17,37,865","10,33,900",59.50%,"2,04,142",19.70%
69,Barasat,17,GEN,West Bengal,Kakoli Ghosh Dastidar,All India Trinamool Congress,"19,05,400","15,32,601",80.40%,"1,14,189",7.50%
70,Bardhaman Purb,38,SC,West Bengal,Dr. Sharmila Sarkar,All India Trinamool Congress,"18,01,333","14,97,310",83.10%,"1,60,572",10.70%
71,Bardoli,23,ST,Gujarat,Parbhubhai Nagarbhai Vasava,Bharatiya Janta Party,"20,48,408","13,39,333",65.40%,"2,30,253",17.20%
72,Bareilly,25,GEN,Uttar Pradesh [2000 Onwards],Chhatra Pal Singh Gangwar,Bharatiya Janta Party,"19,24,434","11,19,558",58.20%,"34,804",3.10%
73,Bargarh,1,GEN,Orissa,Pradeep Purohit,Bharatiya Janta Party,"16,31,974","13,09,864",80.30%,"2,51,667",19.20%
74,Barmer,17,GEN,Rajasthan,Ummeda Ram Beniwal,Indian National Congress,"22,06,237","16,88,051",76.50%,"1,18,176",7.00%
75,Barpeta,3,GEN,Assam,Phani Bhusan Choudhury,Asom Gana Parishad,"19,66,847","16,85,943",85.70%,"2,22,351",13.20%
76,Barrackpore,15,GEN,West Bengal,Partha Bhowmick,All India Trinamool Congress,"15,08,728","11,41,860",75.70%,"64,438",5.60%
77,Basirhat,18,GEN,West Bengal,Sk Nurul Islam,All India Trinamool Congress,"18,04,261","15,23,401",84.40%,"3,33,547",21.90%
78,Bastar,10,ST,Chhattisgarh,Mahesh Kashyap,Bharatiya Janta Party,"14,72,207","10,07,395",68.40%,"55,245",5.50%
79,Basti,61,GEN,Uttar Pradesh [2000 Onwards],Ram Prasad Chaudhary,Samajwadi Party,"19,02,898","10,82,870",56.90%,"1,00,994",9.30%
80,Bathinda,11,GEN,Punjab,Harsimrat Kaur Badal,Shiromani Akali Dal,"16,51,188","11,51,170",69.70%,"49,656",4.30%
81,Beed,39,GEN,Maharashtra,Bajrang Manohar Sonwane,Nationalist Congress Party – Sharadchandra Pawar,"21,42,547","15,22,295",71.10%,"6,553",0.40%
82,Begusarai,24,GEN,Bihar [2000 Onwards],Giriraj Singh,Bharatiya Janta Party,"21,96,089","12,94,673",59.00%,"81,480",6.30%
83,Belgaum,2,GEN,Karnataka,Jagadish Shettar,Bharatiya Janta Party,"19,23,788","13,83,889",71.90%,"1,78,437",12.90%
84,Bellary,9,ST,Karnataka,E. Tukaram,Indian National Congress,"18,84,040","13,89,914",73.80%,"98,992",7.10%
85,Berhampur,20,GEN,Orissa,Dr. Pradeep Kumar Panigrahy,Bharatiya Janta Party,"15,91,380","10,42,923",65.50%,"1,65,476",15.90%
86,Betul,29,ST,Madhya Pradesh [2000 Onwards],Durgadas (D. D.) UIKEY,Bharatiya Janta Party,"18,95,331","13,96,020",73.70%,"3,79,761",27.20%
87,Bhadohi,78,GEN,Uttar Pradesh [2000 Onwards],Dr. Vinod Kumar Bind,Bharatiya Janta Party,"20,37,925","10,84,993",53.20%,"44,072",4.10%
88,Bhadrak,7,SC,Orissa,Avimanyu Sethi,Bharatiya Janta Party,"17,70,915","12,97,377",73.30%,"91,544",7.10%
89,Bhagalpur,26,GEN,Bihar [2000 Onwards],Ajay Kumar Mandal,Janata Dal (United),"19,83,031","10,64,081",53.70%,"1,04,868",9.90%
90,Bhandara - Gon,11,GEN,Maharashtra,Dr. Prashant Yadaorao Padole,Indian National Congress,"18,27,188","12,35,073",67.60%,"37,380",3.00%
91,Bharatpur,9,SC,Rajasthan,Sanjna Jatav,Indian National Congress,"21,14,916","11,33,000",53.60%,"51,983",4.60%
92,Bharuch,22,GEN,Gujarat,Mansukhbhai Dhanjibhai Vasava,Bharatiya Janta Party,"17,23,353","11,98,964",69.60%,"85,696",7.10%
93,Bhavnagar,15,GEN,Gujarat,Nimuben Jayantibhai Bambhaniya (NIMUBEN BAMBHANIYA),Bharatiya Janta Party,"19,16,900","10,47,232",54.60%,"4,55,289",43.50%
94,Bhilwara,23,GEN,Rajasthan,Damodar Agarwal,Bharatiya Janta Party,"21,47,159","13,04,395",60.80%,"3,54,606",27.20%
95,Bhind,2,SC,Madhya Pradesh [2000 Onwards],Sandhya Ray,Bharatiya Janta Party,"19,00,654","10,49,007",55.20%,"64,840",6.20%
96,Bhiwandi,23,GEN,Maharashtra,Balya Mama - Suresh Gopinath Mhatre,Nationalist Congress Party – Sharadchandra Pawar,"20,87,244","12,53,399",60.10%,"66,121",5.30%
97,Bhiwani-Mahend,8,GEN,Haryana,Dharambir Singh,Bharatiya Janta Party,"17,93,029","11,83,395",66.00%,"41,510",3.50%
98,Bhongir,14,GEN,Telangana,Chamala Kiran Kumar Reddy,Indian National Congress,"18,08,585","14,01,396",77.50%,"2,22,170",15.90%
99,Bhopal,19,GEN,Madhya Pradesh [2000 Onwards],Alok Sharma,Bharatiya Janta Party,"23,39,411","14,98,285",64.10%,"5,01,499",33.50%
100,Bhubaneswar,18,GEN,Orissa,Aparajita Sarangi,Bharatiya Janta Party,"16,72,774","10,82,215",64.70%,"35,152",3.20%
101,Bidar,7,GEN,Karnataka,Sagar Eshwar Khandre,Indian National Congress,"18,92,962","12,42,322",65.60%,"1,28,875",10.40%
102,Bijapur,4,SC,Karnataka,Ramesh Jigajinagi,Bharatiya Janta Party,"19,46,090","12,96,114",66.60%,"77,229",6.00%
103,Bijnor,4,GEN,Uttar Pradesh [2000 Onwards],Chandan Chauhan,Rashtriya Lok Dal,"17,38,307","10,24,432",58.90%,"37,508",3.70%
104,Bikaner,2,SC,Rajasthan,Arjun Ram Meghwal,Bharatiya Janta Party,"20,48,399","11,18,282",54.60%,"55,711",5.00%
105,Bilaspur,5,GEN,Chhattisgarh,Tokhan Sahu,Bharatiya Janta Party,"21,02,687","13,61,350",64.70%,"1,64,558",12.10%
106,Birbhum,42,GEN,West Bengal,Satabdi Roy,All India Trinamool Congress,"18,57,022","15,27,432",82.30%,"1,97,650",12.90%
107,Bishnupur,37,SC,West Bengal,Khan Saumitra,Bharatiya Janta Party,"17,54,268","15,13,872",86.30%,"5,567",0.40%
108,Bolangir,10,GEN,Orissa,Sangeeta Kumari Singh Deo,Bharatiya Janta Party,"18,01,744","14,00,248",77.70%,"1,32,664",9.50%
109,Bolpur,41,SC,West Bengal,Asit Kumar Mal,All India Trinamool Congress,"18,39,234","15,28,470",83.10%,"3,27,253",21.40%
110,Bulandshahr,14,SC,Uttar Pradesh [2000 Onwards],Dr Bhola Singh,Bharatiya Janta Party,"18,59,462","10,54,399",56.70%,"2,75,134",26.10%
111,Buldhana,5,GEN,Maharashtra,Jadhav Prataprao Ganpatrao,Shiv Sena,"17,82,700","11,09,496",62.20%,"29,479",2.70%
112,Burdwan - Durg,39,GEN,West Bengal,Azad Kirti Jha,All India Trinamool Congress,"18,51,780","15,01,773",81.10%,"1,37,981",9.20%
113,Buxar,33,GEN,Bihar [2000 Onwards],Sudhakar Singh,Rashtriya Janata Dal,"19,23,164","10,73,759",55.80%,"30,091",2.80%
114,Chalakudy,11,GEN,Kerala,Benny Behanan,Indian National Congress,"13,10,529","9,51,287",72.60%,"63,754",6.70%
115,Chamarajanagar,22,SC,Karnataka,Sunil Bose,Indian National Congress,"17,78,310","13,69,797",77.00%,"1,88,706",13.80%
116,Chandauli,76,GEN,Uttar Pradesh [2000 Onwards],Birendra Singh,Samajwadi Party,"18,43,196","11,16,499",60.60%,"21,565",1.90%
117,Chandigarh,1,GEN,Chandigarh,Manish Tewari,Indian National Congress,"6,59,805","4,49,275",68.10%,"2,504",0.60%
118,Chandni Chowk,1,GEN,Delhi [1977 Onwards],Praveen Khandelwal,Bharatiya Janta Party,"16,45,958","9,66,102",58.70%,"89,325",9.20%
119,Chandrapur,13,GEN,Maharashtra,Dhanorkar Pratibha Suresh Alias Balubhau,Indian National Congress,"18,37,906","12,41,304",67.50%,"2,60,406",21.00%
120,Chatra,4,GEN,Jharkhand,Kali Charan Singh,Bharatiya Janta Party,"16,89,926","10,86,374",64.30%,"2,20,959",20.30%
121,Chelvella,10,GEN,Telangana,Konda Vishweshwar Reddy,Bharatiya Janta Party,"29,38,370","16,75,354",57.00%,"1,72,897",10.30%
122,Chennai Centra,4,GEN,Tamil Nadu,Dayanidhi Maran,Dravida Munnetra Kazhagam,"13,50,161","7,30,549",54.10%,"2,44,689",33.50%
123,Chennai North,2,GEN,Tamil Nadu,Dr.Kalanidhi Veeraswamy,Dravida Munnetra Kazhagam,"14,96,224","9,02,489",60.30%,"3,39,222",37.60%
124,Chennai South,3,GEN,Tamil Nadu,T.Sumathy (ALIAS) THAMIZHACHI THANGAPANDIAN,Dravida Munnetra Kazhagam,"20,23,133","10,99,321",54.30%,"2,25,945",20.60%
125,Chhindwara,16,GEN,Madhya Pradesh [2000 Onwards],Bunty Vivek Sahu,Bharatiya Janta Party,"16,32,190","13,04,827",79.90%,"1,13,618",8.70%
126,Chhota Udaipur,21,ST,Gujarat,Jashubhai Bhilubhai Rathva,Bharatiya Janta Party,"18,21,708","12,67,719",69.60%,"3,98,777",31.50%
127,Chidambaram,27,SC,Tamil Nadu,Thirumaavalavan Thol,Viduthalai Chiruthaigal Katchi,"15,19,847","11,67,071",76.80%,"1,03,554",8.90%
128,Chikkballapur,27,GEN,Karnataka,Dr.K.Sudhakar,Bharatiya Janta Party,"19,81,347","15,30,820",77.30%,"1,63,460",10.70%
129,Chikkodi,1,GEN,Karnataka,Priyanka Satish Jarkiholi,Indian National Congress,"17,61,694","13,93,093",79.10%,"90,834",6.50%
130,Chitradurga,18,SC,Karnataka,Govind Makthappa Karjol,Bharatiya Janta Party,"18,56,876","13,66,909",73.60%,"48,121",3.50%
131,Chittoor,25,SC,Andhra Pradesh [2014 Onwards],Daggumalla Prasada Rao,Telugu Desam,"16,40,202","14,18,857",86.50%,"2,20,479",15.50%
132,Chittorgarh,21,GEN,Rajasthan,Chandra Prakash Joshi,Bharatiya Janta Party,"21,70,167","14,98,733",69.10%,"3,89,877",26.00%
133,Churu,3,GEN,Rajasthan,Rahul Kaswan,Indian National Congress,"22,13,187","14,24,645",64.40%,"72,737",5.10%
134,Coimbatore,20,GEN,Tamil Nadu,Ganapathy Rajkumar P,Dravida Munnetra Kazhagam,"21,06,124","13,72,833",65.20%,"1,18,068",8.60%
135,Cooch Behar,1,SC,West Bengal,Jagadish Chandra Barma Basunia,All India Trinamool Congress,"19,66,893","16,23,048",82.50%,"39,250",2.40%
136,Cuddalore,26,GEN,Tamil Nadu,M.K. Vishnuprasad,Indian National Congress,"14,12,746","10,31,563",73.00%,"1,85,896",18.00%
137,Cuttack,14,GEN,Orissa,Bhartruhari Mahtab,Bharatiya Janta Party,"15,71,622","11,20,795",71.30%,"57,077",5.10%
138,Dadra And Nagar Haveli,1,GEN,Dadra & Nagar Haveli,Delkar Kalaben Mohanbhai,Bharatiya Janta Party,"2,83,024","2,05,588",72.60%,"57,584",28.00%
139,Dahod,19,ST,Gujarat,Jaswantsinh Sumanbhai Bhabhor,Bharatiya Janta Party,"18,75,136","11,18,294",59.60%,"3,33,677",29.80%
140,Dakshina Kanna,17,GEN,Karnataka,Captain Brijesh Chowta,Bharatiya Janta Party,"18,17,603","14,15,770",77.90%,"1,49,208",10.50%
141,Daman And Diu,1,GEN,Daman & Diu,Patel Umeshbhai Babubhai,Independent,"1,34,189","92,410",68.90%,"6,225",6.70%
142,Damoh,7,GEN,Madhya Pradesh [2000 Onwards],Rahul Singh Lodhi,Bharatiya Janta Party,"19,25,314","10,88,944",56.60%,"4,06,426",37.30%
143,Darbhanga,14,GEN,Bihar [2000 Onwards],Gopal Jee Thakur,Bharatiya Janta Party,"17,81,356","10,24,184",57.50%,"1,78,156",17.40%
144,Darjeeling,4,GEN,West Bengal,Raju Bista,Bharatiya Janta Party,"17,65,744","13,27,412",75.20%,"1,78,525",13.40%
145,Darrang-Udalguri,4,GEN,Assam,Dilip Saikia,Bharatiya Janta Party,"22,09,314","18,11,200",82.00%,"3,29,012",18.20%
146,Dausa,11,ST,Rajasthan,Murari Lal Meena,Indian National Congress,"18,99,304","10,72,734",56.50%,"2,37,340",22.10%
147,Davanagere,13,GEN,Karnataka,Dr. Prabha Mallikarjun,Indian National Congress,"17,09,244","13,20,368",77.30%,"26,094",2.00%
148,Deoria,66,GEN,Uttar Pradesh [2000 Onwards],Shashank Mani,Bharatiya Janta Party,"18,73,821","10,43,308",55.70%,"34,842",3.30%
149,Dewas,21,SC,Madhya Pradesh [2000 Onwards],Mahendra Singh Solanky,Bharatiya Janta Party,"19,40,472","14,69,104",75.70%,"4,25,225",28.90%
150,Dhanbad,7,GEN,Jharkhand,Dulu Mahato,Bharatiya Janta Party,"22,85,237","14,28,007",62.50%,"3,31,583",23.20%
151,Dhar,25,ST,Madhya Pradesh [2000 Onwards],Savitri Thakur,Bharatiya Janta Party,"19,53,834","14,25,044",72.90%,"2,18,665",15.30%
152,Dharmapuri,10,GEN,Tamil Nadu,Mani. A.,Dravida Munnetra Kazhagam,"15,24,896","12,47,832",81.80%,"21,300",1.70%
153,Dharwad,11,GEN,Karnataka,Pralhad Joshi,Bharatiya Janta Party,"18,31,975","13,66,491",74.60%,"97,324",7.10%
154,Dhaurahra,29,GEN,Uttar Pradesh [2000 Onwards],Anand Bhadauriya,Samajwadi Party,"17,19,345","11,11,847",64.70%,"4,449",0.40%
155,Dhenkanal,9,GEN,Orissa,Rudra Narayan Pany,Bharatiya Janta Party,"15,29,785","11,91,673",77.90%,"76,567",6.40%
156,Dhubri,2,GEN,Assam,Rakibul Hussain,Indian National Congress,"26,60,827","24,53,608",92.20%,"10,12,476",41.30%
157,Dhule,2,GEN,Maharashtra,Bachhav Shobha Dinesh,Indian National Congress,"20,22,061","12,19,295",60.30%,"3,831",0.30%
158,Diamond Harbou,21,GEN,West Bengal,Abhishek Banerjee,All India Trinamool Congress,"18,80,779","15,30,817",81.40%,"7,10,930",46.40%
159,Dibrugarh,13,GEN,Assam,Sarbananda Sonowal,Bharatiya Janta Party,"16,59,588","12,78,322",77.00%,"2,79,321",21.90%
160,Dindigul,22,GEN,Tamil Nadu,Sachithanantham R,Communist Party Of India (Marxist),"16,07,051","11,49,621",71.50%,"4,43,821",38.60%
161,Dindori,20,ST,Maharashtra,Bhaskar Murlidhar Bhagare,Nationalist Congress Party – Sharadchandra Pawar,"18,53,387","12,40,910",67.00%,"1,13,199",9.10%
162,Diphu,6,ST,Assam,Amarsing Tisso,Bharatiya Janta Party,"9,01,032","6,82,827",75.80%,"1,47,603",21.60%
163,Domariyaganj,60,GEN,Uttar Pradesh [2000 Onwards],Jagdambika Pal,Bharatiya Janta Party,"19,61,845","10,18,965",51.90%,"42,728",4.20%
164,Dum Dum,16,GEN,West Bengal,Sougata Ray,All India Trinamool Congress,"16,99,656","12,60,046",74.10%,"70,660",5.60%
165,Dumka,2,ST,Jharkhand,Nalin Soren,Jharkhand Mukti Morcha,"15,91,061","11,84,132",74.40%,"22,527",1.90%
166,Durg,7,GEN,Chhattisgarh,Vijay Baghel,Bharatiya Janta Party,"20,90,414","15,42,787",73.80%,"4,38,226",28.40%
167,East Delhi,3,GEN,Delhi [1977 Onwards],Harsh Malhotra,Bharatiya Janta Party,"21,20,584","12,64,049",59.60%,"93,663",7.40%
168,Eluru,10,,Andhra Pradesh [2014 Onwards],Putta Mahesh Kumar,Telugu Desam,"16,37,430","13,82,049",84.40%,"1,81,857",13.20%
169,Ernakulam,12,GEN,Kerala,Hibi Eden,Indian National Congress,"13,24,047","9,10,502",68.80%,"2,50,385",27.50%
170,Erode,17,GEN,Tamil Nadu,K E Prakash,Dravida Munnetra Kazhagam,"15,38,778","10,93,423",71.10%,"2,36,566",21.60%
171,Etah,22,GEN,Uttar Pradesh [2000 Onwards],Devesh Shakya,Samajwadi Party,"17,00,524","10,10,381",59.40%,"28,052",2.80%
172,Etawah,41,SC,Uttar Pradesh [2000 Onwards],Jitendra Kumar Dohare,Samajwadi Party,"18,28,498","10,33,784",56.50%,"58,419",5.70%
173,Faizabad,54,GEN,Uttar Pradesh [2000 Onwards],Awadhesh Prasad,Samajwadi Party,"19,27,459","11,40,661",59.20%,"54,567",4.80%
174,Faridabad,10,GEN,Haryana,Krishan Pal,Bharatiya Janta Party,"24,30,212","14,71,322",60.50%,"1,72,914",11.80%
175,Faridkot,9,SC,Punjab,Sarabjeet Singh Khalsa,Independent,"15,94,033","10,14,455",63.60%,"70,053",6.90%
176,Farrukhabad,40,GEN,Uttar Pradesh [2000 Onwards],Mukesh Rajput,Bharatiya Janta Party,"17,47,182","10,33,794",59.20%,"2,678",0.30%
177,Fatehgarh Sahi,8,SC,Punjab,Amar Singh,Indian National Congress,"15,52,567","9,74,256",62.80%,"34,202",3.50%
178,Fatehpur,49,GEN,Uttar Pradesh [2000 Onwards],Naresh Chandra Uttam Patel,Samajwadi Party,"19,38,563","11,06,944",57.10%,"33,199",3.00%
179,Fatehpur Sikri,19,GEN,Uttar Pradesh [2000 Onwards],Rajkumar Chahar,Bharatiya Janta Party,"17,98,823","10,34,155",57.50%,"43,405",4.20%
180,Ferozpur,10,GEN,Punjab,Sher Singh Ghubaya,Indian National Congress,"16,70,008","11,25,115",67.40%,"3,242",0.30%
